,document,text,zin,label,score_annotaotor,totaalscore
0,Beslisnota bij Kamerbrief over Geografische Balans Subsidieregeling en Beleidsintensiveringen Slavernijverleden,"                                                                                    TER BESLUITVORMING
                                                                                    Nota actief openbaar
                                                                                    Ja
                                                                                    Onze referentie
Aan                      StasBZK en MBZK                                            2024-0000015654
Van                      Programma <mark style=""background: #00ced1!important"">slavernijverleden</mark>                                Datum
                                                                                    9 januari 2024
                                                                                    Opgesteld door
                          (0) Nota Kamerbrief Geografische Verdeling m.b.t. de
                          Subsidieregeling en Beleidsintensiveringen
                                                                                    Samengewerkt met
                          <mark style=""background: #00ced1!important"">slavernijverleden</mark>
                                                                                    Bijlage(n)
                                                                                    1
Aanleiding
De ministeriële stuurgroep <mark style=""background: #00ced1!important"">slavernijverleden</mark> van 29 september j.l. heeft gevraagd
de Tweede Kamer te informeren over de te hanteren geografische verdeling bij de
uitwerking van de subsidieregeling en beleidsintensiveringen toegezegd in de
kabinetsreactie op het rapport ‘Ketenen van het Verleden’ van 19 dec 2022. Bij
deze nota vindt u die brief aan de Tweede Kamer.
Geadviseerd besluit
 Instemmen met verzenden van de brief. De brief is parallel voorgelegd aan
    MBZ en door MBZ geaccordeerd.
Kern
 In deze brief wordt de Kamer geïnformeerd over het voorstel voor en de
    verdere uitwerking van een geografische verdeling tussen het Caribisch deel
    van het Koninkrijk, Europees Nederland en Suriname, met betrekking tot de
    regeling voor maatschappelijke initiatieven en de beleidsintensiveringen uit de
    kabinetsreactie op het rapport “Ketenen van het Verleden”. U licht daarbij de
    overwegingen van het kabinet toe.
 In deze brief schetst u het voorstel zoals besproken in de ministeriële
    stuurgroep van 29 September jl. en tijdens de Catshuissessie op Sint Maarten
    op 1 en 2 oktober jl.
 De brief is in samenwerking met de interdepartementale werkgroep
    <mark style=""background: #00ced1!important"">slavernijverleden</mark> opgesteld.
 De minister van Buitenlandse Zaken is vanwege de betrokkenheid Suriname
    medeondertekenaar van de brief.
Proces
Vanwege een misverstand met versiebeheer is er vertraging opgelopen in het
accorderingsproces bij BZ. In de bijgesloten versie zijn er nog enkele
grammaticale onjuistheden aangepast en is de datum van 19 dec jl aangepast
naar 19 december 2022.
Bijlagen
 Volgnummer       Naam                             Informatie
 1                Kamerbrief Geografische
                                                                                    Pagina 1 van 2
","                                                                                    TER BESLUITVORMING
                                                                                    Nota actief openbaar
                                                                                    Ja
                                                                                    Onze referentie
Aan                      StasBZK en MBZK                                            2024-0000015654
Van                      Programma <mark style=""background: #00ced1!important"">slavernijverleden</mark>                                Datum
                                                                                    9 januari 2024
                                                                                    Opgesteld door
                          (0) Nota Kamerbrief Geografische Verdeling m",positief,,
1,Beslisnota bij Kamerbrief over Geografische Balans Subsidieregeling en Beleidsintensiveringen Slavernijverleden,"                                                                                    TER BESLUITVORMING
                                                                                    Nota actief openbaar
                                                                                    Ja
                                                                                    Onze referentie
Aan                      StasBZK en MBZK                                            2024-0000015654
Van                      Programma <mark style=""background: #00ced1!important"">slavernijverleden</mark>                                Datum
                                                                                    9 januari 2024
                                                                                    Opgesteld door
                          (0) Nota Kamerbrief Geografische Verdeling m.b.t. de
                          Subsidieregeling en Beleidsintensiveringen
                                                                                    Samengewerkt met
                          <mark style=""background: #00ced1!important"">slavernijverleden</mark>
                                                                                    Bijlage(n)
                                                                                    1
Aanleiding
De ministeriële stuurgroep <mark style=""background: #00ced1!important"">slavernijverleden</mark> van 29 september j.l. heeft gevraagd
de Tweede Kamer te informeren over de te hanteren geografische verdeling bij de
uitwerking van de subsidieregeling en beleidsintensiveringen toegezegd in de
kabinetsreactie op het rapport ‘Ketenen van het Verleden’ van 19 dec 2022. Bij
deze nota vindt u die brief aan de Tweede Kamer.
Geadviseerd besluit
 Instemmen met verzenden van de brief. De brief is parallel voorgelegd aan
    MBZ en door MBZ geaccordeerd.
Kern
 In deze brief wordt de Kamer geïnformeerd over het voorstel voor en de
    verdere uitwerking van een geografische verdeling tussen het Caribisch deel
    van het Koninkrijk, Europees Nederland en Suriname, met betrekking tot de
    regeling voor maatschappelijke initiatieven en de beleidsintensiveringen uit de
    kabinetsreactie op het rapport “Ketenen van het Verleden”. U licht daarbij de
    overwegingen van het kabinet toe.
 In deze brief schetst u het voorstel zoals besproken in de ministeriële
    stuurgroep van 29 September jl. en tijdens de Catshuissessie op Sint Maarten
    op 1 en 2 oktober jl.
 De brief is in samenwerking met de interdepartementale werkgroep
    <mark style=""background: #00ced1!important"">slavernijverleden</mark> opgesteld.
 De minister van Buitenlandse Zaken is vanwege de betrokkenheid Suriname
    medeondertekenaar van de brief.
Proces
Vanwege een misverstand met versiebeheer is er vertraging opgelopen in het
accorderingsproces bij BZ. In de bijgesloten versie zijn er nog enkele
grammaticale onjuistheden aangepast en is de datum van 19 dec jl aangepast
naar 19 december 2022.
Bijlagen
 Volgnummer       Naam                             Informatie
 1                Kamerbrief Geografische
                                                                                    Pagina 1 van 2
",b,positief,,
2,Beslisnota bij Kamerbrief over Geografische Balans Subsidieregeling en Beleidsintensiveringen Slavernijverleden,"                                                                                    TER BESLUITVORMING
                                                                                    Nota actief openbaar
                                                                                    Ja
                                                                                    Onze referentie
Aan                      StasBZK en MBZK                                            2024-0000015654
Van                      Programma <mark style=""background: #00ced1!important"">slavernijverleden</mark>                                Datum
                                                                                    9 januari 2024
                                                                                    Opgesteld door
                          (0) Nota Kamerbrief Geografische Verdeling m.b.t. de
                          Subsidieregeling en Beleidsintensiveringen
                                                                                    Samengewerkt met
                          <mark style=""background: #00ced1!important"">slavernijverleden</mark>
                                                                                    Bijlage(n)
                                                                                    1
Aanleiding
De ministeriële stuurgroep <mark style=""background: #00ced1!important"">slavernijverleden</mark> van 29 september j.l. heeft gevraagd
de Tweede Kamer te informeren over de te hanteren geografische verdeling bij de
uitwerking van de subsidieregeling en beleidsintensiveringen toegezegd in de
kabinetsreactie op het rapport ‘Ketenen van het Verleden’ van 19 dec 2022. Bij
deze nota vindt u die brief aan de Tweede Kamer.
Geadviseerd besluit
 Instemmen met verzenden van de brief. De brief is parallel voorgelegd aan
    MBZ en door MBZ geaccordeerd.
Kern
 In deze brief wordt de Kamer geïnformeerd over het voorstel voor en de
    verdere uitwerking van een geografische verdeling tussen het Caribisch deel
    van het Koninkrijk, Europees Nederland en Suriname, met betrekking tot de
    regeling voor maatschappelijke initiatieven en de beleidsintensiveringen uit de
    kabinetsreactie op het rapport “Ketenen van het Verleden”. U licht daarbij de
    overwegingen van het kabinet toe.
 In deze brief schetst u het voorstel zoals besproken in de ministeriële
    stuurgroep van 29 September jl. en tijdens de Catshuissessie op Sint Maarten
    op 1 en 2 oktober jl.
 De brief is in samenwerking met de interdepartementale werkgroep
    <mark style=""background: #00ced1!important"">slavernijverleden</mark> opgesteld.
 De minister van Buitenlandse Zaken is vanwege de betrokkenheid Suriname
    medeondertekenaar van de brief.
Proces
Vanwege een misverstand met versiebeheer is er vertraging opgelopen in het
accorderingsproces bij BZ. In de bijgesloten versie zijn er nog enkele
grammaticale onjuistheden aangepast en is de datum van 19 dec jl aangepast
naar 19 december 2022.
Bijlagen
 Volgnummer       Naam                             Informatie
 1                Kamerbrief Geografische
                                                                                    Pagina 1 van 2
",t,positief,,
3,Beslisnota bij Kamerbrief over Geografische Balans Subsidieregeling en Beleidsintensiveringen Slavernijverleden,"                                                                                    TER BESLUITVORMING
                                                                                    Nota actief openbaar
                                                                                    Ja
                                                                                    Onze referentie
Aan                      StasBZK en MBZK                                            2024-0000015654
Van                      Programma <mark style=""background: #00ced1!important"">slavernijverleden</mark>                                Datum
                                                                                    9 januari 2024
                                                                                    Opgesteld door
                          (0) Nota Kamerbrief Geografische Verdeling m.b.t. de
                          Subsidieregeling en Beleidsintensiveringen
                                                                                    Samengewerkt met
                          <mark style=""background: #00ced1!important"">slavernijverleden</mark>
                                                                                    Bijlage(n)
                                                                                    1
Aanleiding
De ministeriële stuurgroep <mark style=""background: #00ced1!important"">slavernijverleden</mark> van 29 september j.l. heeft gevraagd
de Tweede Kamer te informeren over de te hanteren geografische verdeling bij de
uitwerking van de subsidieregeling en beleidsintensiveringen toegezegd in de
kabinetsreactie op het rapport ‘Ketenen van het Verleden’ van 19 dec 2022. Bij
deze nota vindt u die brief aan de Tweede Kamer.
Geadviseerd besluit
 Instemmen met verzenden van de brief. De brief is parallel voorgelegd aan
    MBZ en door MBZ geaccordeerd.
Kern
 In deze brief wordt de Kamer geïnformeerd over het voorstel voor en de
    verdere uitwerking van een geografische verdeling tussen het Caribisch deel
    van het Koninkrijk, Europees Nederland en Suriname, met betrekking tot de
    regeling voor maatschappelijke initiatieven en de beleidsintensiveringen uit de
    kabinetsreactie op het rapport “Ketenen van het Verleden”. U licht daarbij de
    overwegingen van het kabinet toe.
 In deze brief schetst u het voorstel zoals besproken in de ministeriële
    stuurgroep van 29 September jl. en tijdens de Catshuissessie op Sint Maarten
    op 1 en 2 oktober jl.
 De brief is in samenwerking met de interdepartementale werkgroep
    <mark style=""background: #00ced1!important"">slavernijverleden</mark> opgesteld.
 De minister van Buitenlandse Zaken is vanwege de betrokkenheid Suriname
    medeondertekenaar van de brief.
Proces
Vanwege een misverstand met versiebeheer is er vertraging opgelopen in het
accorderingsproces bij BZ. In de bijgesloten versie zijn er nog enkele
grammaticale onjuistheden aangepast en is de datum van 19 dec jl aangepast
naar 19 december 2022.
Bijlagen
 Volgnummer       Naam                             Informatie
 1                Kamerbrief Geografische
                                                                                    Pagina 1 van 2
"," de
                          Subsidieregeling en Beleidsintensiveringen
                                                                                    Samengewerkt met
                          <mark style=""background: #00ced1!important"">slavernijverleden</mark>
                                                                                    Bijlage(n)
                                                                                    1
Aanleiding
De ministeriële stuurgroep <mark style=""background: #00ced1!important"">slavernijverleden</mark> van 29 september j",positief,,
4,Beslisnota bij Kamerbrief over Geografische Balans Subsidieregeling en Beleidsintensiveringen Slavernijverleden,"                                                                                    TER BESLUITVORMING
                                                                                    Nota actief openbaar
                                                                                    Ja
                                                                                    Onze referentie
Aan                      StasBZK en MBZK                                            2024-0000015654
Van                      Programma <mark style=""background: #00ced1!important"">slavernijverleden</mark>                                Datum
                                                                                    9 januari 2024
                                                                                    Opgesteld door
                          (0) Nota Kamerbrief Geografische Verdeling m.b.t. de
                          Subsidieregeling en Beleidsintensiveringen
                                                                                    Samengewerkt met
                          <mark style=""background: #00ced1!important"">slavernijverleden</mark>
                                                                                    Bijlage(n)
                                                                                    1
Aanleiding
De ministeriële stuurgroep <mark style=""background: #00ced1!important"">slavernijverleden</mark> van 29 september j.l. heeft gevraagd
de Tweede Kamer te informeren over de te hanteren geografische verdeling bij de
uitwerking van de subsidieregeling en beleidsintensiveringen toegezegd in de
kabinetsreactie op het rapport ‘Ketenen van het Verleden’ van 19 dec 2022. Bij
deze nota vindt u die brief aan de Tweede Kamer.
Geadviseerd besluit
 Instemmen met verzenden van de brief. De brief is parallel voorgelegd aan
    MBZ en door MBZ geaccordeerd.
Kern
 In deze brief wordt de Kamer geïnformeerd over het voorstel voor en de
    verdere uitwerking van een geografische verdeling tussen het Caribisch deel
    van het Koninkrijk, Europees Nederland en Suriname, met betrekking tot de
    regeling voor maatschappelijke initiatieven en de beleidsintensiveringen uit de
    kabinetsreactie op het rapport “Ketenen van het Verleden”. U licht daarbij de
    overwegingen van het kabinet toe.
 In deze brief schetst u het voorstel zoals besproken in de ministeriële
    stuurgroep van 29 September jl. en tijdens de Catshuissessie op Sint Maarten
    op 1 en 2 oktober jl.
 De brief is in samenwerking met de interdepartementale werkgroep
    <mark style=""background: #00ced1!important"">slavernijverleden</mark> opgesteld.
 De minister van Buitenlandse Zaken is vanwege de betrokkenheid Suriname
    medeondertekenaar van de brief.
Proces
Vanwege een misverstand met versiebeheer is er vertraging opgelopen in het
accorderingsproces bij BZ. In de bijgesloten versie zijn er nog enkele
grammaticale onjuistheden aangepast en is de datum van 19 dec jl aangepast
naar 19 december 2022.
Bijlagen
 Volgnummer       Naam                             Informatie
 1                Kamerbrief Geografische
                                                                                    Pagina 1 van 2
",l,positief,,
5,Beslisnota bij Kamerbrief over Geografische Balans Subsidieregeling en Beleidsintensiveringen Slavernijverleden,"                                                                                    TER BESLUITVORMING
                                                                                    Nota actief openbaar
                                                                                    Ja
                                                                                    Onze referentie
Aan                      StasBZK en MBZK                                            2024-0000015654
Van                      Programma <mark style=""background: #00ced1!important"">slavernijverleden</mark>                                Datum
                                                                                    9 januari 2024
                                                                                    Opgesteld door
                          (0) Nota Kamerbrief Geografische Verdeling m.b.t. de
                          Subsidieregeling en Beleidsintensiveringen
                                                                                    Samengewerkt met
                          <mark style=""background: #00ced1!important"">slavernijverleden</mark>
                                                                                    Bijlage(n)
                                                                                    1
Aanleiding
De ministeriële stuurgroep <mark style=""background: #00ced1!important"">slavernijverleden</mark> van 29 september j.l. heeft gevraagd
de Tweede Kamer te informeren over de te hanteren geografische verdeling bij de
uitwerking van de subsidieregeling en beleidsintensiveringen toegezegd in de
kabinetsreactie op het rapport ‘Ketenen van het Verleden’ van 19 dec 2022. Bij
deze nota vindt u die brief aan de Tweede Kamer.
Geadviseerd besluit
 Instemmen met verzenden van de brief. De brief is parallel voorgelegd aan
    MBZ en door MBZ geaccordeerd.
Kern
 In deze brief wordt de Kamer geïnformeerd over het voorstel voor en de
    verdere uitwerking van een geografische verdeling tussen het Caribisch deel
    van het Koninkrijk, Europees Nederland en Suriname, met betrekking tot de
    regeling voor maatschappelijke initiatieven en de beleidsintensiveringen uit de
    kabinetsreactie op het rapport “Ketenen van het Verleden”. U licht daarbij de
    overwegingen van het kabinet toe.
 In deze brief schetst u het voorstel zoals besproken in de ministeriële
    stuurgroep van 29 September jl. en tijdens de Catshuissessie op Sint Maarten
    op 1 en 2 oktober jl.
 De brief is in samenwerking met de interdepartementale werkgroep
    <mark style=""background: #00ced1!important"">slavernijverleden</mark> opgesteld.
 De minister van Buitenlandse Zaken is vanwege de betrokkenheid Suriname
    medeondertekenaar van de brief.
Proces
Vanwege een misverstand met versiebeheer is er vertraging opgelopen in het
accorderingsproces bij BZ. In de bijgesloten versie zijn er nog enkele
grammaticale onjuistheden aangepast en is de datum van 19 dec jl aangepast
naar 19 december 2022.
Bijlagen
 Volgnummer       Naam                             Informatie
 1                Kamerbrief Geografische
                                                                                    Pagina 1 van 2
"," heeft gevraagd
de Tweede Kamer te informeren over de te hanteren geografische verdeling bij de
uitwerking van de subsidieregeling en beleidsintensiveringen toegezegd in de
kabinetsreactie op het rapport ‘Ketenen van het Verleden’ van 19 dec 2022",positief,,
6,Beslisnota bij Kamerbrief over Geografische Balans Subsidieregeling en Beleidsintensiveringen Slavernijverleden,"                                                                                    TER BESLUITVORMING
                                                                                    Nota actief openbaar
                                                                                    Ja
                                                                                    Onze referentie
Aan                      StasBZK en MBZK                                            2024-0000015654
Van                      Programma <mark style=""background: #00ced1!important"">slavernijverleden</mark>                                Datum
                                                                                    9 januari 2024
                                                                                    Opgesteld door
                          (0) Nota Kamerbrief Geografische Verdeling m.b.t. de
                          Subsidieregeling en Beleidsintensiveringen
                                                                                    Samengewerkt met
                          <mark style=""background: #00ced1!important"">slavernijverleden</mark>
                                                                                    Bijlage(n)
                                                                                    1
Aanleiding
De ministeriële stuurgroep <mark style=""background: #00ced1!important"">slavernijverleden</mark> van 29 september j.l. heeft gevraagd
de Tweede Kamer te informeren over de te hanteren geografische verdeling bij de
uitwerking van de subsidieregeling en beleidsintensiveringen toegezegd in de
kabinetsreactie op het rapport ‘Ketenen van het Verleden’ van 19 dec 2022. Bij
deze nota vindt u die brief aan de Tweede Kamer.
Geadviseerd besluit
 Instemmen met verzenden van de brief. De brief is parallel voorgelegd aan
    MBZ en door MBZ geaccordeerd.
Kern
 In deze brief wordt de Kamer geïnformeerd over het voorstel voor en de
    verdere uitwerking van een geografische verdeling tussen het Caribisch deel
    van het Koninkrijk, Europees Nederland en Suriname, met betrekking tot de
    regeling voor maatschappelijke initiatieven en de beleidsintensiveringen uit de
    kabinetsreactie op het rapport “Ketenen van het Verleden”. U licht daarbij de
    overwegingen van het kabinet toe.
 In deze brief schetst u het voorstel zoals besproken in de ministeriële
    stuurgroep van 29 September jl. en tijdens de Catshuissessie op Sint Maarten
    op 1 en 2 oktober jl.
 De brief is in samenwerking met de interdepartementale werkgroep
    <mark style=""background: #00ced1!important"">slavernijverleden</mark> opgesteld.
 De minister van Buitenlandse Zaken is vanwege de betrokkenheid Suriname
    medeondertekenaar van de brief.
Proces
Vanwege een misverstand met versiebeheer is er vertraging opgelopen in het
accorderingsproces bij BZ. In de bijgesloten versie zijn er nog enkele
grammaticale onjuistheden aangepast en is de datum van 19 dec jl aangepast
naar 19 december 2022.
Bijlagen
 Volgnummer       Naam                             Informatie
 1                Kamerbrief Geografische
                                                                                    Pagina 1 van 2
"," Bij
deze nota vindt u die brief aan de Tweede Kamer",positief,,
7,Beslisnota bij Kamerbrief over Geografische Balans Subsidieregeling en Beleidsintensiveringen Slavernijverleden,"                                                                                    TER BESLUITVORMING
                                                                                    Nota actief openbaar
                                                                                    Ja
                                                                                    Onze referentie
Aan                      StasBZK en MBZK                                            2024-0000015654
Van                      Programma <mark style=""background: #00ced1!important"">slavernijverleden</mark>                                Datum
                                                                                    9 januari 2024
                                                                                    Opgesteld door
                          (0) Nota Kamerbrief Geografische Verdeling m.b.t. de
                          Subsidieregeling en Beleidsintensiveringen
                                                                                    Samengewerkt met
                          <mark style=""background: #00ced1!important"">slavernijverleden</mark>
                                                                                    Bijlage(n)
                                                                                    1
Aanleiding
De ministeriële stuurgroep <mark style=""background: #00ced1!important"">slavernijverleden</mark> van 29 september j.l. heeft gevraagd
de Tweede Kamer te informeren over de te hanteren geografische verdeling bij de
uitwerking van de subsidieregeling en beleidsintensiveringen toegezegd in de
kabinetsreactie op het rapport ‘Ketenen van het Verleden’ van 19 dec 2022. Bij
deze nota vindt u die brief aan de Tweede Kamer.
Geadviseerd besluit
 Instemmen met verzenden van de brief. De brief is parallel voorgelegd aan
    MBZ en door MBZ geaccordeerd.
Kern
 In deze brief wordt de Kamer geïnformeerd over het voorstel voor en de
    verdere uitwerking van een geografische verdeling tussen het Caribisch deel
    van het Koninkrijk, Europees Nederland en Suriname, met betrekking tot de
    regeling voor maatschappelijke initiatieven en de beleidsintensiveringen uit de
    kabinetsreactie op het rapport “Ketenen van het Verleden”. U licht daarbij de
    overwegingen van het kabinet toe.
 In deze brief schetst u het voorstel zoals besproken in de ministeriële
    stuurgroep van 29 September jl. en tijdens de Catshuissessie op Sint Maarten
    op 1 en 2 oktober jl.
 De brief is in samenwerking met de interdepartementale werkgroep
    <mark style=""background: #00ced1!important"">slavernijverleden</mark> opgesteld.
 De minister van Buitenlandse Zaken is vanwege de betrokkenheid Suriname
    medeondertekenaar van de brief.
Proces
Vanwege een misverstand met versiebeheer is er vertraging opgelopen in het
accorderingsproces bij BZ. In de bijgesloten versie zijn er nog enkele
grammaticale onjuistheden aangepast en is de datum van 19 dec jl aangepast
naar 19 december 2022.
Bijlagen
 Volgnummer       Naam                             Informatie
 1                Kamerbrief Geografische
                                                                                    Pagina 1 van 2
","
Geadviseerd besluit
 Instemmen met verzenden van de brief",positief,,
8,Beslisnota bij Kamerbrief over Geografische Balans Subsidieregeling en Beleidsintensiveringen Slavernijverleden,"                                                                                    TER BESLUITVORMING
                                                                                    Nota actief openbaar
                                                                                    Ja
                                                                                    Onze referentie
Aan                      StasBZK en MBZK                                            2024-0000015654
Van                      Programma <mark style=""background: #00ced1!important"">slavernijverleden</mark>                                Datum
                                                                                    9 januari 2024
                                                                                    Opgesteld door
                          (0) Nota Kamerbrief Geografische Verdeling m.b.t. de
                          Subsidieregeling en Beleidsintensiveringen
                                                                                    Samengewerkt met
                          <mark style=""background: #00ced1!important"">slavernijverleden</mark>
                                                                                    Bijlage(n)
                                                                                    1
Aanleiding
De ministeriële stuurgroep <mark style=""background: #00ced1!important"">slavernijverleden</mark> van 29 september j.l. heeft gevraagd
de Tweede Kamer te informeren over de te hanteren geografische verdeling bij de
uitwerking van de subsidieregeling en beleidsintensiveringen toegezegd in de
kabinetsreactie op het rapport ‘Ketenen van het Verleden’ van 19 dec 2022. Bij
deze nota vindt u die brief aan de Tweede Kamer.
Geadviseerd besluit
 Instemmen met verzenden van de brief. De brief is parallel voorgelegd aan
    MBZ en door MBZ geaccordeerd.
Kern
 In deze brief wordt de Kamer geïnformeerd over het voorstel voor en de
    verdere uitwerking van een geografische verdeling tussen het Caribisch deel
    van het Koninkrijk, Europees Nederland en Suriname, met betrekking tot de
    regeling voor maatschappelijke initiatieven en de beleidsintensiveringen uit de
    kabinetsreactie op het rapport “Ketenen van het Verleden”. U licht daarbij de
    overwegingen van het kabinet toe.
 In deze brief schetst u het voorstel zoals besproken in de ministeriële
    stuurgroep van 29 September jl. en tijdens de Catshuissessie op Sint Maarten
    op 1 en 2 oktober jl.
 De brief is in samenwerking met de interdepartementale werkgroep
    <mark style=""background: #00ced1!important"">slavernijverleden</mark> opgesteld.
 De minister van Buitenlandse Zaken is vanwege de betrokkenheid Suriname
    medeondertekenaar van de brief.
Proces
Vanwege een misverstand met versiebeheer is er vertraging opgelopen in het
accorderingsproces bij BZ. In de bijgesloten versie zijn er nog enkele
grammaticale onjuistheden aangepast en is de datum van 19 dec jl aangepast
naar 19 december 2022.
Bijlagen
 Volgnummer       Naam                             Informatie
 1                Kamerbrief Geografische
                                                                                    Pagina 1 van 2
"," De brief is parallel voorgelegd aan
    MBZ en door MBZ geaccordeerd",positief,,
9,Beslisnota bij Kamerbrief over Geografische Balans Subsidieregeling en Beleidsintensiveringen Slavernijverleden,"                                                                                    TER BESLUITVORMING
                                                                                    Nota actief openbaar
                                                                                    Ja
                                                                                    Onze referentie
Aan                      StasBZK en MBZK                                            2024-0000015654
Van                      Programma <mark style=""background: #00ced1!important"">slavernijverleden</mark>                                Datum
                                                                                    9 januari 2024
                                                                                    Opgesteld door
                          (0) Nota Kamerbrief Geografische Verdeling m.b.t. de
                          Subsidieregeling en Beleidsintensiveringen
                                                                                    Samengewerkt met
                          <mark style=""background: #00ced1!important"">slavernijverleden</mark>
                                                                                    Bijlage(n)
                                                                                    1
Aanleiding
De ministeriële stuurgroep <mark style=""background: #00ced1!important"">slavernijverleden</mark> van 29 september j.l. heeft gevraagd
de Tweede Kamer te informeren over de te hanteren geografische verdeling bij de
uitwerking van de subsidieregeling en beleidsintensiveringen toegezegd in de
kabinetsreactie op het rapport ‘Ketenen van het Verleden’ van 19 dec 2022. Bij
deze nota vindt u die brief aan de Tweede Kamer.
Geadviseerd besluit
 Instemmen met verzenden van de brief. De brief is parallel voorgelegd aan
    MBZ en door MBZ geaccordeerd.
Kern
 In deze brief wordt de Kamer geïnformeerd over het voorstel voor en de
    verdere uitwerking van een geografische verdeling tussen het Caribisch deel
    van het Koninkrijk, Europees Nederland en Suriname, met betrekking tot de
    regeling voor maatschappelijke initiatieven en de beleidsintensiveringen uit de
    kabinetsreactie op het rapport “Ketenen van het Verleden”. U licht daarbij de
    overwegingen van het kabinet toe.
 In deze brief schetst u het voorstel zoals besproken in de ministeriële
    stuurgroep van 29 September jl. en tijdens de Catshuissessie op Sint Maarten
    op 1 en 2 oktober jl.
 De brief is in samenwerking met de interdepartementale werkgroep
    <mark style=""background: #00ced1!important"">slavernijverleden</mark> opgesteld.
 De minister van Buitenlandse Zaken is vanwege de betrokkenheid Suriname
    medeondertekenaar van de brief.
Proces
Vanwege een misverstand met versiebeheer is er vertraging opgelopen in het
accorderingsproces bij BZ. In de bijgesloten versie zijn er nog enkele
grammaticale onjuistheden aangepast en is de datum van 19 dec jl aangepast
naar 19 december 2022.
Bijlagen
 Volgnummer       Naam                             Informatie
 1                Kamerbrief Geografische
                                                                                    Pagina 1 van 2
","
Kern
 In deze brief wordt de Kamer geïnformeerd over het voorstel voor en de
    verdere uitwerking van een geografische verdeling tussen het Caribisch deel
    van het Koninkrijk, Europees Nederland en Suriname, met betrekking tot de
    regeling voor maatschappelijke initiatieven en de beleidsintensiveringen uit de
    kabinetsreactie op het rapport “Ketenen van het Verleden”",positief,,
